Indicator,Year,value
"Inflation rate, at the end of the year",2025,7.5
"Inflation rate, at the end of the year",2024,9.0
"Inflation rate, at the end of the year",2023,7.9
"Inflation rate, at the end of the year",2022,13.2
"Inflation rate, at the end of the year",2021,13.8
"Inflation rate, at the end of the year",2020,2.3
"Inflation rate, at the end of the year",2019,5.2
"Inflation rate, at the end of the year",2018,8.1
"Inflation rate, at the end of the year",2017,6.4
"Inflation rate, at the end of the year",2016,1.3
"Inflation rate, at the end of the year",2015,1.9
"Inflation rate, at the end of the year",2014,11.0
"Inflation rate, at the end of the year",2013,12.5
"Inflation rate, at the end of the year",2012,14.0
"Inflation rate, at the end of the year",2011,8.9
"Inflation rate, at the end of the year",2010,13.0
"Inflation rate, at the end of the year",2009,4.2
"Inflation rate, at the end of the year",2008,22.1
"Inflation rate, at the end of the year",2007,17.8
"Inflation rate, at the end of the year",2006,6.2
"Inflation rate, at the end of the year",2005,9.5
"Inflation rate, at the end of the year",2004,11.0
"Inflation rate, at the end of the year",2003,4.7
"Inflation rate, at the end of the year",2002,1.6
"Inflation rate, at the end of the year",2001,8.0
"Inflation rate, at the end of the year",2000,8.1
"Inflation rate, at the end of the year",1999,10.0
"Inflation rate, at the end of the year",1998,6.0
"Inflation rate, at the end of the year",1997,20.5
"Inflation rate, at the end of the year",1996,44.6
"Inflation rate, at the end of the year",1995,53.1
"Inflation rate, at the end of the year",1994,66.3
"Inflation rate, at the end of the year",1993,183.0
"Inflation rate, at the end of the year",1992,325.5
"Inflation rate, at the end of the year",1991,52.7
"Inflation rate, average of the year",2025,8.6
"Inflation rate, average of the year",2024,6.8
"Inflation rate, average of the year",2023,10.4
"Inflation rate, average of the year",2022,15.2
"Inflation rate, average of the year",2021,7.3
"Inflation rate, average of the year",2020,3.7
"Inflation rate, average of the year",2019,7.3
"Inflation rate, average of the year",2018,6.8
"Inflation rate, average of the year",2017,4.3
"Inflation rate, average of the year",2016,0.7
"Inflation rate, average of the year",2015,6.6
"Inflation rate, average of the year",2014,12.8
"Inflation rate, average of the year",2013,10.5
"Inflation rate, average of the year",2012,14.3
"Inflation rate, average of the year",2011,9.2
"Inflation rate, average of the year",2010,10.1
"Inflation rate, average of the year",2009,8.0
"Inflation rate, average of the year",2008,28.0
"Inflation rate, average of the year",2007,9.6
"Inflation rate, average of the year",2006,4.3
"Inflation rate, average of the year",2005,
"Inflation rate, average of the year",2004,
"Inflation rate, average of the year",2003,
"Inflation rate, average of the year",2002,
"Inflation rate, average of the year",2001,
"Inflation rate, average of the year",2000,
"Inflation rate, average of the year",1999,
"Inflation rate, average of the year",1998,
"Inflation rate, average of the year",1997,
"Inflation rate, average of the year",1996,
"Inflation rate, average of the year",1995,
"Inflation rate, average of the year",1994,
"Inflation rate, average of the year",1993,
"Inflation rate, average of the year",1992,
"Inflation rate, average of the year",1991,
