Type of livestock,Region,Year,value
Total,Total,2024,57649.7
Total,Total,2023,64681.9
Total,Total,2022,71121.5
Total,Total,2021,67343.8
Total,Total,2020,67068.5
Total,Total,2019,70969.3
Total,Total,2018,66460.2
Total,Total,2017,66219.0
Total,Total,2016,61549.2
Total,Total,2015,55979.8
Total,Total,2014,51982.6
Total,Total,2013,45144.3
Total,Total,2012,40920.9
Total,Total,2011,36335.8
Total,Total,2010,32729.5
Total,Total,2009,43981.0
Total,Total,2008,43288.5
Total,Total,2007,40263.9
Total,Total,2006,34803.0
Total,Total,2005,30398.8
Total,Total,2004,28028.0
Total,Total,2003,25427.7
Total,Total,2002,23897.6
Total,Total,2001,26075.4
Total,Total,2000,30227.5
Total,Total,1999,33568.9
Total,Total,1998,32897.5
Total,Total,1997,31292.3
Total,Total,1996,29300.1
Total,Total,1995,28572.3
Total,Total,1994,26778.4
Total,Total,1993,24688.3
Total,Total,1992,25694.1
Total,Total,1991,25527.9
Total,Total,1990,25856.9
Total,Total,1989,24674.9
Total,Total,1988,23122.3
Total,Total,1987,22741.1
Total,Total,1986,22590.5
Total,Total,1985,22485.5
Total,Total,1984,22591.9
Total,Total,1983,23570.3
Total,Total,1982,24764.7
Total,Total,1981,24263.1
Total,Total,1980,23771.5
Total,Total,1979,24201.2
Total,Total,1978,24025.7
Total,Total,1977,22942.1
Total,Total,1976,23684.0
Total,Total,1975,24351.6
Total,Total,1974,24313.5
Total,Total,1973,23538.0
Total,Total,1972,23108.1
Total,Total,1971,22692.6
Total,Total,1970,22574.7
Total,    Khangai region,2024,13247.3
Total,    Khangai region,2023,13654.3
Total,    Khangai region,2022,14196.1
Total,    Khangai region,2021,12712.0
Total,    Khangai region,2020,13718.9
Total,    Khangai region,2019,16437.4
Total,    Khangai region,2018,15192.9
Total,    Khangai region,2017,15623.0
Total,    Khangai region,2016,14454.5
Total,    Khangai region,2015,12739.9
Total,    Khangai region,2014,11870.6
Total,    Khangai region,2013,10245.4
Total,    Khangai region,2012,9014.7
Total,    Khangai region,2011,7647.7
Total,    Khangai region,2010,6652.7
Total,    Khangai region,2009,9923.9
Total,    Khangai region,2008,9472.5
Total,    Khangai region,2007,8387.5
Total,    Khangai region,2006,7032.2
Total,    Khangai region,2005,6049.6
Total,    Khangai region,2004,5427.3
Total,    Khangai region,2003,4855.5
Total,    Khangai region,2002,4276.4
Total,    Khangai region,2001,5286.9
Total,    Khangai region,2000,6750.8
Total,    Khangai region,1999,7767.3
Total,    Khangai region,1998,7552.1
Total,    Khangai region,1997,7070.4
Total,    Khangai region,1996,6508.3
Total,    Khangai region,1995,6448.5
Total,    Khangai region,1994,5967.7
Total,    Khangai region,1993,5314.2
Total,    Khangai region,1992,5303.8
Total,    Khangai region,1991,5200.8
Total,    Khangai region,1990,5157.0
Total,    Khangai region,1989,4795.2
Total,    Khangai region,1988,4413.8
Total,    Khangai region,1987,4446.3
Total,    Khangai region,1986,4353.5
Total,    Khangai region,1985,4278.1
Total,    Khangai region,1984,4538.3
Total,    Khangai region,1983,4973.2
Total,    Khangai region,1982,5475.9
Total,    Khangai region,1981,5329.0
Total,    Khangai region,1980,5218.5
Total,    Khangai region,1979,5241.8
Total,    Khangai region,1978,5264.1
Total,    Khangai region,1977,5130.0
Total,    Khangai region,1976,5099.2
Total,    Khangai region,1975,5147.1
Total,    Khangai region,1974,5055.7
Total,    Khangai region,1973,4889.4
Total,    Khangai region,1972,4883.4
Total,    Khangai region,1971,4756.4
Total,    Khangai region,1970,4780.4
Total,            Arkhangai,2024,4082.3
Total,            Arkhangai,2023,4847.4
Total,            Arkhangai,2022,5886.1
Total,            Arkhangai,2021,5562.2
Total,            Arkhangai,2020,5399.9
Total,            Arkhangai,2019,6167.0
Total,            Arkhangai,2018,5482.0
Total,            Arkhangai,2017,5291.7
Total,            Arkhangai,2016,5009.6
Total,            Arkhangai,2015,4457.1
Total,            Arkhangai,2014,4293.2
Total,            Arkhangai,2013,3772.3
Total,            Arkhangai,2012,3403.2
Total,            Arkhangai,2011,2984.3
Total,            Arkhangai,2010,2679.2
Total,            Arkhangai,2009,3619.1
Total,            Arkhangai,2008,3379.2
Total,            Arkhangai,2007,2912.6
Total,            Arkhangai,2006,2530.6
