Statistical indicator,Main commodities,Year,value
Volume,Frozen beef (t),2024,189.5
Volume,Frozen beef (t),2023,242.0
Volume,Frozen beef (t),2022,166.5
Volume,Frozen beef (t),2021,0.0
Volume,Frozen beef (t),2020,0.0
Volume,Frozen beef (t),2019,0.0
Volume,Frozen beef (t),2018,1054.58
Volume,Frozen beef (t),2017,600.0
Volume,Frozen beef (t),2016,695.09
Volume,Frozen beef (t),2015,847.65
Volume,Frozen beef (t),2014,480.0
Volume,Frozen beef (t),2013,0.0
Volume,Frozen beef (t),2012,965.09
Volume,Frozen beef (t),2011,5795.89
Volume,Frozen beef (t),2010,3888.2
Volume,Frozen beef (t),2009,8818.5
Volume,Frozen beef (t),2008,4210.4
Volume,Frozen beef (t),2007,3879.3
Volume,Frozen beef (t),2006,2689.8
Volume,Frozen beef (t),2005,2792.4
Volume,Frozen beef (t),2004,5004.8
Volume,Frozen beef (t),2003,9814.3
Volume,Frozen beef (t),2002,15292.1
Volume,Frozen beef (t),2001,13544.4
Volume,Frozen beef (t),2000,15116.0
Volume,Frozen beef (t),1999,13224.7
Volume,Frozen beef (t),1998,6726.8
Volume,Frozen beef (t),1997,6432.1
Volume,Frozen beef (t),1996,3130.4
Volume,Frozen beef (t),1995,1926.0
Volume, Horse meat (t),2024,23850.1
Volume, Horse meat (t),2023,32932.3
Volume, Horse meat (t),2022,6920.86
Volume, Horse meat (t),2021,6950.0
Volume, Horse meat (t),2020,17567.76
Volume, Horse meat (t),2019,30834.88
Volume, Horse meat (t),2018,32200.81
Volume, Horse meat (t),2017,26118.71
Volume, Horse meat (t),2016,7983.58
Volume, Horse meat (t),2015,3856.88
Volume, Horse meat (t),2014,1822.15
Volume, Horse meat (t),2013,2597.8
Volume, Horse meat (t),2012,1462.12
Volume, Horse meat (t),2011,3865.15
Volume, Horse meat (t),2010,10925.0
Volume, Horse meat (t),2009,8635.3
Volume, Horse meat (t),2008,6097.1
Volume, Horse meat (t),2007,7072.8
Volume, Horse meat (t),2006,8814.3
Volume, Horse meat (t),2005,4960.2
Volume, Horse meat (t),2004,3442.4
Volume, Horse meat (t),2003,5112.2
Volume, Horse meat (t),2002,7136.5
Volume, Horse meat (t),2001,4062.6
Volume, Horse meat (t),2000,4.8
Volume, Horse meat (t),1999,74.1
Volume, Horse meat (t),1998,248.9
Volume, Horse meat (t),1997,101.8
Volume, Horse meat (t),1996,64.4
Volume, Horse meat (t),1995,1.1
