gender,Aimag,TIME,value
TOTAL,National average,2024,2332.4
TOTAL,National average,2023,1881.8
TOTAL,National average,2022,1503.8
TOTAL,National average,2021,1279.4
TOTAL,National average,2020,1220.6
TOTAL,National average,2019,1124.3
TOTAL,National average,2018,1002.9
TOTAL,National average,2017,944.5
TOTAL,National average,2016,861.9
TOTAL,National average,2015,808.0
TOTAL,National average,2014,796.6
TOTAL,National average,2013,774.9
TOTAL,National average,2012,557.6
TOTAL,National average,2011,424.1
TOTAL,National average,2010,341.5
TOTAL,National average,2009,300.4
TOTAL,National average,2008,274.2
TOTAL,National average,2007,173.0
TOTAL,National average,2006,127.7
TOTAL,National average,2005,101.2
TOTAL,National average,2004,93.1
TOTAL,National average,2003,81.5
TOTAL,National average,2002,71.3
TOTAL,National average,2001,65.2
TOTAL,National average,2000,62.3
TOTAL,National average,1999,55.4
TOTAL,National average,1998,48.1
TOTAL,National average,1997,37.8
TOTAL,National average,1996,31.9
TOTAL,National average,1995,24.4
TOTAL,Western region,2024,1887.2
TOTAL,Western region,2023,1356.8
TOTAL,Western region,2022,1020.7
TOTAL,Western region,2021,911.5
TOTAL,Western region,2020,878.3
TOTAL,Western region,2019,764.0
TOTAL,Western region,2018,647.7
TOTAL,Western region,2017,626.3
TOTAL,Western region,2016,607.5
TOTAL,Western region,2015,601.9
TOTAL,Western region,2014,587.8
TOTAL,Western region,2013,560.8
TOTAL,Western region,2012,459.5
TOTAL,Western region,2011,330.9
TOTAL,Western region,2010,279.9
TOTAL,Western region,2009,264.1
TOTAL,Western region,2008,254.4
TOTAL,Western region,2007,156.1
TOTAL,Western region,2006,114.1
TOTAL,Western region,2005,89.1
TOTAL,Western region,2004,86.3
TOTAL,Western region,2003,73.4
TOTAL,Western region,2002,62.3
TOTAL,Western region,2001,54.0
TOTAL,Western region,2000,58.2
TOTAL,Western region,1999,
TOTAL,Western region,1998,
TOTAL,Western region,1997,
TOTAL,Western region,1996,
TOTAL,Western region,1995,
TOTAL,   Bayan-Ulgii,2024,1757.5
TOTAL,   Bayan-Ulgii,2023,1247.2
TOTAL,   Bayan-Ulgii,2022,943.4
TOTAL,   Bayan-Ulgii,2021,851.9
TOTAL,   Bayan-Ulgii,2020,825.0
TOTAL,   Bayan-Ulgii,2019,718.8
TOTAL,   Bayan-Ulgii,2018,593.5
TOTAL,   Bayan-Ulgii,2017,591.0
TOTAL,   Bayan-Ulgii,2016,573.1
TOTAL,   Bayan-Ulgii,2015,577.8
TOTAL,   Bayan-Ulgii,2014,552.8
TOTAL,   Bayan-Ulgii,2013,527.3
TOTAL,   Bayan-Ulgii,2012,417.4
TOTAL,   Bayan-Ulgii,2011,305.6
TOTAL,   Bayan-Ulgii,2010,258.9
TOTAL,   Bayan-Ulgii,2009,243.7
TOTAL,   Bayan-Ulgii,2008,243.0
TOTAL,   Bayan-Ulgii,2007,141.3
TOTAL,   Bayan-Ulgii,2006,99.1
TOTAL,   Bayan-Ulgii,2005,81.4
TOTAL,   Bayan-Ulgii,2004,80.2
TOTAL,   Bayan-Ulgii,2003,69.3
TOTAL,   Bayan-Ulgii,2002,57.5
TOTAL,   Bayan-Ulgii,2001,52.2
TOTAL,   Bayan-Ulgii,2000,48.9
TOTAL,   Bayan-Ulgii,1999,
TOTAL,   Bayan-Ulgii,1998,
TOTAL,   Bayan-Ulgii,1997,
TOTAL,   Bayan-Ulgii,1996,
TOTAL,   Bayan-Ulgii,1995,
TOTAL,   Govi-Altai,2024,1932.3
TOTAL,   Govi-Altai,2023,1372.6
TOTAL,   Govi-Altai,2022,1029.6
TOTAL,   Govi-Altai,2021,935.5
TOTAL,   Govi-Altai,2020,901.1
TOTAL,   Govi-Altai,2019,789.7
TOTAL,   Govi-Altai,2018,675.0
TOTAL,   Govi-Altai,2017,648.4
TOTAL,   Govi-Altai,2016,631.5
TOTAL,   Govi-Altai,2015,612.7
TOTAL,   Govi-Altai,2014,612.6
TOTAL,   Govi-Altai,2013,603.2
TOTAL,   Govi-Altai,2012,483.4
TOTAL,   Govi-Altai,2011,335.0
TOTAL,   Govi-Altai,2010,277.6
TOTAL,   Govi-Altai,2009,268.1
TOTAL,   Govi-Altai,2008,260.9
TOTAL,   Govi-Altai,2007,158.8
TOTAL,   Govi-Altai,2006,115.5
TOTAL,   Govi-Altai,2005,87.1
TOTAL,   Govi-Altai,2004,80.8
TOTAL,   Govi-Altai,2003,70.8
TOTAL,   Govi-Altai,2002,60.1
TOTAL,   Govi-Altai,2001,50.4
TOTAL,   Govi-Altai,2000,64.3
TOTAL,   Govi-Altai,1999,
TOTAL,   Govi-Altai,1998,
TOTAL,   Govi-Altai,1997,
TOTAL,   Govi-Altai,1996,
TOTAL,   Govi-Altai,1995,
TOTAL,   Zavkhan,2024,1998.3
TOTAL,   Zavkhan,2023,1441.4
TOTAL,   Zavkhan,2022,1051.4
TOTAL,   Zavkhan,2021,932.8
TOTAL,   Zavkhan,2020,916.6
TOTAL,   Zavkhan,2019,789.2
TOTAL,   Zavkhan,2018,665.8
TOTAL,   Zavkhan,2017,634.8
TOTAL,   Zavkhan,2016,620.3
TOTAL,   Zavkhan,2015,596.4
TOTAL,   Zavkhan,2014,593.8
TOTAL,   Zavkhan,2013,604.6
TOTAL,   Zavkhan,2012,499.0
TOTAL,   Zavkhan,2011,356.6
TOTAL,   Zavkhan,2010,290.8
TOTAL,   Zavkhan,2009,273.3
TOTAL,   Zavkhan,2008,258.2
TOTAL,   Zavkhan,2007,166.3
TOTAL,   Zavkhan,2006,123.4
TOTAL,   Zavkhan,2005,90.9
TOTAL,   Zavkhan,2004,84.7
TOTAL,   Zavkhan,2003,71.9
TOTAL,   Zavkhan,2002,63.2
TOTAL,   Zavkhan,2001,52.9
TOTAL,   Zavkhan,2000,50.7
TOTAL,   Zavkhan,1999,
TOTAL,   Zavkhan,1998,
TOTAL,   Zavkhan,1997,
TOTAL,   Zavkhan,1996,
TOTAL,   Zavkhan,1995,
TOTAL,   Uvs,2024,1909.9
TOTAL,   Uvs,2023,1372.2
TOTAL,   Uvs,2022,1021.5
TOTAL,   Uvs,2021,905.4
TOTAL,   Uvs,2020,870.9
TOTAL,   Uvs,2019,763.1
TOTAL,   Uvs,2018,640.9
TOTAL,   Uvs,2017,623.1
TOTAL,   Uvs,2016,604.2
TOTAL,   Uvs,2015,603.4
TOTAL,   Uvs,2014,585.1
TOTAL,   Uvs,2013,576.4
TOTAL,   Uvs,2012,449.8
TOTAL,   Uvs,2011,340.4
TOTAL,   Uvs,2010,294.5
TOTAL,   Uvs,2009,267.8
TOTAL,   Uvs,2008,269.4
TOTAL,   Uvs,2007,152.2
TOTAL,   Uvs,2006,114.6
TOTAL,   Uvs,2005,87.6
TOTAL,   Uvs,2004,89.9
TOTAL,   Uvs,2003,76.7
TOTAL,   Uvs,2002,66.5
TOTAL,   Uvs,2001,55.9
TOTAL,   Uvs,2000,51.5
TOTAL,   Uvs,1999,
TOTAL,   Uvs,1998,
TOTAL,   Uvs,1997,
TOTAL,   Uvs,1996,
TOTAL,   Uvs,1995,
TOTAL,   Khovd,2024,1897.5
TOTAL,   Khovd,2023,1384.2
TOTAL,   Khovd,2022,1067.1
TOTAL,   Khovd,2021,942.9
TOTAL,   Khovd,2020,892.8
TOTAL,   Khovd,2019,772.9
TOTAL,   Khovd,2018,675.8
TOTAL,   Khovd,2017,643.2
TOTAL,   Khovd,2016,617.6
TOTAL,   Khovd,2015,620.9
TOTAL,   Khovd,2014,601.7
TOTAL,   Khovd,2013,539.8
TOTAL,   Khovd,2012,464.2
TOTAL,   Khovd,2011,330.1
TOTAL,   Khovd,2010,286.3
TOTAL,   Khovd,2009,273.3
TOTAL,   Khovd,2008,248.4
TOTAL,   Khovd,2007,163.3
TOTAL,   Khovd,2006,119.3
TOTAL,   Khovd,2005,96.3
TOTAL,   Khovd,2004,91.4
TOTAL,   Khovd,2003,76.2
TOTAL,   Khovd,2002,63.0
TOTAL,   Khovd,2001,59.1
TOTAL,   Khovd,2000,82.7
TOTAL,   Khovd,1999,
TOTAL,   Khovd,1998,
TOTAL,   Khovd,1997,
TOTAL,   Khovd,1996,
TOTAL,   Khovd,1995,
TOTAL,Khangai region,2024,2264.3
TOTAL,Khangai region,2023,1719.2
TOTAL,Khangai region,2022,1334.3
TOTAL,Khangai region,2021,1157.3
TOTAL,Khangai region,2020,1104.0
TOTAL,Khangai region,2019,967.9
TOTAL,Khangai region,2018,828.4
TOTAL,Khangai region,2017,767.8
TOTAL,Khangai region,2016,763.8
TOTAL,Khangai region,2015,743.9
TOTAL,Khangai region,2014,741.9
TOTAL,Khangai region,2013,626.1
TOTAL,Khangai region,2012,550.0
TOTAL,Khangai region,2011,400.4
TOTAL,Khangai region,2010,322.1
TOTAL,Khangai region,2009,292.2
TOTAL,Khangai region,2008,267.7
TOTAL,Khangai region,2007,167.9
TOTAL,Khangai region,2006,126.0
TOTAL,Khangai region,2005,103.0
TOTAL,Khangai region,2004,92.2
TOTAL,Khangai region,2003,79.7
TOTAL,Khangai region,2002,65.6
TOTAL,Khangai region,2001,60.3
TOTAL,Khangai region,2000,55.4
TOTAL,Khangai region,1999,
TOTAL,Khangai region,1998,
TOTAL,Khangai region,1997,
TOTAL,Khangai region,1996,
TOTAL,Khangai region,1995,
TOTAL,   Arkhangai,2024,1855.7
TOTAL,   Arkhangai,2023,1337.1
TOTAL,   Arkhangai,2022,996.7
TOTAL,   Arkhangai,2021,890.9
TOTAL,   Arkhangai,2020,859.9
TOTAL,   Arkhangai,2019,741.8
TOTAL,   Arkhangai,2018,620.7
TOTAL,   Arkhangai,2017,593.1
TOTAL,   Arkhangai,2016,590.1
TOTAL,   Arkhangai,2015,591.4
TOTAL,   Arkhangai,2014,581.3
TOTAL,   Arkhangai,2013,565.3
TOTAL,   Arkhangai,2012,503.4
TOTAL,   Arkhangai,2011,368.7
TOTAL,   Arkhangai,2010,297.0
TOTAL,   Arkhangai,2009,267.7
TOTAL,   Arkhangai,2008,254.2
TOTAL,   Arkhangai,2007,148.2
TOTAL,   Arkhangai,2006,108.4
TOTAL,   Arkhangai,2005,85.5
TOTAL,   Arkhangai,2004,77.3
TOTAL,   Arkhangai,2003,64.8
TOTAL,   Arkhangai,2002,61.4
TOTAL,   Arkhangai,2001,50.1
TOTAL,   Arkhangai,2000,49.4
TOTAL,   Arkhangai,1999,
TOTAL,   Arkhangai,1998,
TOTAL,   Arkhangai,1997,
TOTAL,   Arkhangai,1996,
TOTAL,   Arkhangai,1995,
TOTAL,   Bayankhongor,2024,1906.8
TOTAL,   Bayankhongor,2023,1353.2
TOTAL,   Bayankhongor,2022,1024.5
TOTAL,   Bayankhongor,2021,912.0
TOTAL,   Bayankhongor,2020,863.3
TOTAL,   Bayankhongor,2019,776.2
TOTAL,   Bayankhongor,2018,656.5
TOTAL,   Bayankhongor,2017,623.5
TOTAL,   Bayankhongor,2016,610.9
TOTAL,   Bayankhongor,2015,602.9
TOTAL,   Bayankhongor,2014,588.5
TOTAL,   Bayankhongor,2013,565.5
TOTAL,   Bayankhongor,2012,505.7
TOTAL,   Bayankhongor,2011,380.9
TOTAL,   Bayankhongor,2010,297.8
TOTAL,   Bayankhongor,2009,270.6
TOTAL,   Bayankhongor,2008,257.3
TOTAL,   Bayankhongor,2007,152.8
TOTAL,   Bayankhongor,2006,107.2
TOTAL,   Bayankhongor,2005,88.1
TOTAL,   Bayankhongor,2004,84.7
TOTAL,   Bayankhongor,2003,74.0
TOTAL,   Bayankhongor,2002,62.2
TOTAL,   Bayankhongor,2001,62.5
TOTAL,   Bayankhongor,2000,50.0
TOTAL,   Bayankhongor,1999,
TOTAL,   Bayankhongor,1998,
TOTAL,   Bayankhongor,1997,
TOTAL,   Bayankhongor,1996,
TOTAL,   Bayankhongor,1995,
TOTAL,   Bulgan,2024,1947.0
TOTAL,   Bulgan,2023,1396.4
TOTAL,   Bulgan,2022,1024.1
TOTAL,   Bulgan,2021,902.2
TOTAL,   Bulgan,2020,857.4
TOTAL,   Bulgan,2019,767.8
TOTAL,   Bulgan,2018,652.1
TOTAL,   Bulgan,2017,638.8
TOTAL,   Bulgan,2016,612.1
TOTAL,   Bulgan,2015,607.8
TOTAL,   Bulgan,2014,583.6
TOTAL,   Bulgan,2013,621.6
TOTAL,   Bulgan,2012,528.6
TOTAL,   Bulgan,2011,395.8
TOTAL,   Bulgan,2010,311.5
TOTAL,   Bulgan,2009,305.8
TOTAL,   Bulgan,2008,270.3
TOTAL,   Bulgan,2007,155.4
TOTAL,   Bulgan,2006,116.6
TOTAL,   Bulgan,2005,103.3
TOTAL,   Bulgan,2004,93.2
TOTAL,   Bulgan,2003,74.7
TOTAL,   Bulgan,2002,65.3
TOTAL,   Bulgan,2001,56.3
TOTAL,   Bulgan,2000,42.3
TOTAL,   Bulgan,1999,
TOTAL,   Bulgan,1998,
TOTAL,   Bulgan,1997,
TOTAL,   Bulgan,1996,
TOTAL,   Bulgan,1995,
TOTAL,   Uvurkhangai,2024,1928.3
TOTAL,   Uvurkhangai,2023,1413.7
TOTAL,   Uvurkhangai,2022,1086.7
TOTAL,   Uvurkhangai,2021,919.7
TOTAL,   Uvurkhangai,2020,891.0
TOTAL,   Uvurkhangai,2019,777.5
TOTAL,   Uvurkhangai,2018,653.1
TOTAL,   Uvurkhangai,2017,631.5
TOTAL,   Uvurkhangai,2016,598.6
TOTAL,   Uvurkhangai,2015,578.2
TOTAL,   Uvurkhangai,2014,572.9
TOTAL,   Uvurkhangai,2013,587.5
TOTAL,   Uvurkhangai,2012,495.5
TOTAL,   Uvurkhangai,2011,364.0
TOTAL,   Uvurkhangai,2010,298.1
